"","species_name","plant_area","number","percent"
"568","PLICATA","B",480,47.0127326150833
"569","PLICATA","N",218,21.3516160626836
"570","PLICATA","V",323,31.6356513222331
"571","PONDEROSA","B",5,21.7391304347826
"572","PONDEROSA","N",4,17.3913043478261
"573","PONDEROSA","V",14,60.8695652173913
"574","POPULIFOLIA","B",1,1.85185185185185
"575","POPULIFOLIA","N",2,3.7037037037037
"576","POPULIFOLIA","V",51,94.4444444444444
"577","PRINUS","V",7,100
"578","PROCERA","B",4,5
"579","PROCERA","N",1,1.25
"580","PROCERA","V",75,93.75
"581","PSEUDOACACIA","B",97,17.6684881602914
"582","PSEUDOACACIA","C",10,1.82149362477231
"583","PSEUDOACACIA","G",3,0.546448087431694
"584","PSEUDOACACIA","N",96,17.4863387978142
"585","PSEUDOACACIA","V",343,62.4772313296903
"586","PSEUDOCAMELLIA","B",13,5.37190082644628
"587","PSEUDOCAMELLIA","C",24,9.91735537190083
"588","PSEUDOCAMELLIA","N",40,16.5289256198347
"589","PSEUDOCAMELLIA","V",165,68.1818181818182
"590","PSEUDOPLATANUS","B",38,1.84108527131783
"591","PSEUDOPLATANUS","C",1,0.0484496124031008
"592","PSEUDOPLATANUS","G",1,0.0484496124031008
"593","PSEUDOPLATANUS","N",55,2.66472868217054
"594","PSEUDOPLATANUS","V",1969,95.3972868217054
"595","PSEUDOSIEBOLDIANUM","C",1,11.1111111111111
"596","PSEUDOSIEBOLDIANUM","N",4,44.4444444444444
"597","PSEUDOSIEBOLDIANUM","V",4,44.4444444444444
"598","PUMILA","B",11,2.38611713665944
"599","PUMILA","N",61,13.2321041214751
"600","PUMILA","V",389,84.3817787418655
"601","PUNGENS","B",20,19.047619047619
"602","PUNGENS","C",2,1.9047619047619
"603","PUNGENS","N",29,27.6190476190476
"604","PUNGENS","V",54,51.4285714285714
"605","PURSHIANA","B",8,47.0588235294118
"606","PURSHIANA","V",9,52.9411764705882
"607","QUADRANGULATA","V",5,100
"608","RACEMOSA","V",4,100
"609","REGIA","B",4,13.3333333333333
"610","REGIA","N",5,16.6666666666667
"611","REGIA","V",21,70
"612","RETICULATA","B",53,4.34070434070434
"613","RETICULATA","C",41,3.35790335790336
"614","RETICULATA","G",16,1.31040131040131
"615","RETICULATA","N",142,11.6298116298116
"616","RETICULATA","V",969,79.3611793611794
"617","RHAMNOIDES","V",3,100
"618","ROBUR","B",75,4.96360026472535
"619","ROBUR","C",78,5.16214427531436
"620","ROBUR","G",34,2.25016545334216
"621","ROBUR","N",95,6.28722700198544
"622","ROBUR","V",1229,81.3368630046327
"623","ROBUR X ALBA","C",10,21.7391304347826
